filename,language
pl_common_voice_pl_20880896.png,pl
pl_common_voice_pl_23709272.png,pl
pl_common_voice_pl_20632578.png,pl
pl_common_voice_pl_21752987.png,pl
pl_common_voice_pl_21770558.png,pl
pl_common_voice_pl_20709899.png,pl
pl_common_voice_pl_20672701.png,pl
pl_common_voice_pl_23884001.png,pl
pl_common_voice_pl_25105392.png,pl
pl_common_voice_pl_20656001.png,pl
pl_common_voice_pl_22442093.png,pl
pl_common_voice_pl_22355905.png,pl
pl_common_voice_pl_21403160.png,pl
pl_common_voice_pl_20607465.png,pl
pl_common_voice_pl_30702729.png,pl
pl_common_voice_pl_21074421.png,pl
pl_common_voice_pl_42672059.png,pl
pl_common_voice_pl_20634380.png,pl
pl_common_voice_pl_20634982.png,pl
pl_common_voice_pl_23357591.png,pl
pl_common_voice_pl_20609731.png,pl
pl_common_voice_pl_20623644.png,pl
pl_common_voice_pl_20892023.png,pl
pl_common_voice_pl_26959437.png,pl
pl_common_voice_pl_20608716.png,pl
pl_common_voice_pl_20671095.png,pl
pl_common_voice_pl_20613703.png,pl
pl_common_voice_pl_22708164.png,pl
pl_common_voice_pl_20697092.png,pl
pl_common_voice_pl_30435598.png,pl
pl_common_voice_pl_42454572.png,pl
pl_common_voice_pl_20946241.png,pl
pl_common_voice_pl_20615415.png,pl
pl_common_voice_pl_26976179.png,pl
pl_common_voice_pl_26219074.png,pl
pl_common_voice_pl_20678889.png,pl
pl_common_voice_pl_25249518.png,pl
pl_common_voice_pl_22744942.png,pl
pl_common_voice_pl_20648447.png,pl
pl_common_voice_pl_35082205.png,pl
pl_common_voice_pl_36003443.png,pl
pl_common_voice_pl_30535577.png,pl
pl_common_voice_pl_27003810.png,pl
pl_common_voice_pl_20826589.png,pl
pl_common_voice_pl_20837351.png,pl
pl_common_voice_pl_20747046.png,pl
pl_common_voice_pl_20611762.png,pl
pl_common_voice_pl_20797446.png,pl
pl_common_voice_pl_40880977.png,pl
pl_common_voice_pl_20638105.png,pl
pl_common_voice_pl_40844152.png,pl
pl_common_voice_pl_20911946.png,pl
pl_common_voice_pl_41806374.png,pl
pl_common_voice_pl_20650544.png,pl
pl_common_voice_pl_30719903.png,pl
pl_common_voice_pl_32968685.png,pl
pl_common_voice_pl_25904693.png,pl
pl_common_voice_pl_39596325.png,pl
